project,subcommand,elapsed_time,critical_path,parallelism,target
arximboldi_immer,build,14.415,0.23,2,//:all
arximboldi_immer,build,13.525,0.16,2,//:all
arximboldi_immer,build,14.862,0.12,2,//:all
arximboldi_immer,build,13.487,0.14,2,//:all
arximboldi_immer,build,13.746,0.14,2,//:all
arximboldi_immer,build,14.132,0.09,2,//:all
arximboldi_immer,build,14.503,0.19,2,//:all
arximboldi_immer,build,14.922,0.15,2,//:all
arximboldi_immer,build,11.471,0.09,2,//:all
arximboldi_immer,build,11.465,0.09,2,//:all
arximboldi_immer,build,10.986,0.08,4,//:all
arximboldi_immer,build,10.812,0.06,4,//:all
arximboldi_immer,build,10.644,0.06,4,//:all
arximboldi_immer,build,11.041,0.08,4,//:all
arximboldi_immer,build,10.3,0.08,4,//:all
arximboldi_immer,build,10.392,0.08,4,//:all
arximboldi_immer,build,10.416,0.07,4,//:all
arximboldi_immer,build,11.035,0.08,4,//:all
arximboldi_immer,build,9.617,0.07,4,//:all
arximboldi_immer,build,9.63,0.05,4,//:all
arximboldi_immer,build,9.654,0.06,8,//:all
arximboldi_immer,build,9.528,0.05,8,//:all
arximboldi_immer,build,9.587,0.05,8,//:all
arximboldi_immer,build,9.559,0.05,8,//:all
arximboldi_immer,build,9.513,0.05,8,//:all
arximboldi_immer,build,9.468,0.06,8,//:all
arximboldi_immer,build,9.741,0.07,8,//:all
arximboldi_immer,build,9.636,0.07,8,//:all
arximboldi_immer,build,9.498,0.06,8,//:all
arximboldi_immer,build,9.447,0.05,8,//:all
arximboldi_immer,build,9.137,0.04,16,//:all
arximboldi_immer,build,9.345,0.05,16,//:all
arximboldi_immer,build,9.257,0.05,16,//:all
arximboldi_immer,build,6.246,0.05,16,//:all
arximboldi_immer,build,9.228,0.05,16,//:all
arximboldi_immer,build,9.443,0.05,16,//:all
arximboldi_immer,build,9.29,0.03,16,//:all
arximboldi_immer,build,9.819,0.06,16,//:all
arximboldi_immer,build,9.994,0.05,16,//:all
arximboldi_immer,build,9.516,0.06,16,//:all
google_cpu_features,build,49.593,32.56,2,//:all
google_cpu_features,build,50.693,33.31,2,//:all
google_cpu_features,build,50.172,33.28,2,//:all
google_cpu_features,build,50.468,33.69,2,//:all
google_cpu_features,build,51.58,34.06,2,//:all
google_cpu_features,build,49.86,33.21,2,//:all
google_cpu_features,build,51.846,35.58,2,//:all
google_cpu_features,build,51.892,35.67,2,//:all
google_cpu_features,build,43.662,29.82,2,//:all
google_cpu_features,build,43.983,29.92,2,//:all
google_cpu_features,build,27.567,17.45,4,//:all
google_cpu_features,build,28.008,17.83,4,//:all
google_cpu_features,build,28.072,18.17,4,//:all
google_cpu_features,build,28.814,17.98,4,//:all
google_cpu_features,build,30.547,17.19,4,//:all
google_cpu_features,build,30.57,17.83,4,//:all
google_cpu_features,build,30.799,18.04,4,//:all
google_cpu_features,build,32.633,19.23,4,//:all
google_cpu_features,build,25.982,16.41,4,//:all
google_cpu_features,build,25.726,16.49,4,//:all
google_cpu_features,build,20.514,9.84,8,//:all
google_cpu_features,build,20.665,9.75,8,//:all
google_cpu_features,build,21.507,9.97,8,//:all
google_cpu_features,build,21.248,9.78,8,//:all
google_cpu_features,build,21.01,9.96,8,//:all
google_cpu_features,build,22.39,11.4,8,//:all
google_cpu_features,build,20.005,9.58,8,//:all
google_cpu_features,build,22.022,11.19,8,//:all
google_cpu_features,build,21.005,10.02,8,//:all
google_cpu_features,build,21.342,10.86,8,//:all
google_cpu_features,build,16.936,6.45,16,//:all
google_cpu_features,build,16.668,6.1,16,//:all
google_cpu_features,build,16.751,6.34,16,//:all
google_cpu_features,build,17.024,6.42,16,//:all
google_cpu_features,build,16.932,6.32,16,//:all
google_cpu_features,build,16.881,6.3,16,//:all
google_cpu_features,build,17.28,6.77,16,//:all
google_cpu_features,build,16.89,6.48,16,//:all
google_cpu_features,build,17.177,6.53,16,//:all
google_cpu_features,build,16.557,6.11,16,//:all
google_cpu_features,test,50.62,33.97,2,//...
google_cpu_features,test,51.783,34.81,2,//...
google_cpu_features,test,52.322,34.8,2,//...
google_cpu_features,test,51.352,34.59,2,//...
google_cpu_features,test,51.683,34.62,2,//...
google_cpu_features,test,52.702,35.08,2,//...
google_cpu_features,test,51.188,35.24,2,//...
google_cpu_features,test,52.331,34.51,2,//...
google_cpu_features,test,43.575,29.78,2,//...
google_cpu_features,test,44.305,30.18,2,//...
google_cpu_features,test,30.099,17.64,4,//...
google_cpu_features,test,30.181,17.54,4,//...
google_cpu_features,test,30.675,17.53,4,//...
google_cpu_features,test,30.633,17.68,4,//...
google_cpu_features,test,31.097,17.5,4,//...
google_cpu_features,test,31.475,17.42,4,//...
google_cpu_features,test,31.027,17.69,4,//...
google_cpu_features,test,31.218,17.46,4,//...
google_cpu_features,test,27.397,16.24,4,//...
google_cpu_features,test,28.267,16.72,4,//...
google_cpu_features,test,21.376,10.09,8,//...
google_cpu_features,test,21.353,10.0,8,//...
google_cpu_features,test,21.163,9.83,8,//...
google_cpu_features,test,20.96,10.06,8,//...
google_cpu_features,test,20.71,9.88,8,//...
google_cpu_features,test,21.1,9.87,8,//...
google_cpu_features,test,20.844,9.71,8,//...
google_cpu_features,test,21.299,10.48,8,//...
google_cpu_features,test,21.031,10.47,8,//...
google_cpu_features,test,21.057,10.34,8,//...
google_cpu_features,test,17.073,6.35,16,//...
google_cpu_features,test,17.149,6.63,16,//...
google_cpu_features,test,17.27,6.65,16,//...
google_cpu_features,test,16.95,6.4,16,//...
google_cpu_features,test,17.093,6.31,16,//...
google_cpu_features,test,14.929,6.51,16,//...
google_cpu_features,test,13.869,6.25,16,//...
google_cpu_features,test,17.75,6.97,16,//...
google_cpu_features,test,16.965,6.35,16,//...
google_cpu_features,test,16.644,6.18,16,//...
tensorflow_federated,build,250.592,0.05,2,//:all
tensorflow_federated,build,343.435,0.04,2,//:all
tensorflow_federated,build,344.464,0.05,2,//:all
tensorflow_federated,build,354.809,0.03,2,//:all
tensorflow_federated,build,352.554,0.02,2,//:all
tensorflow_federated,build,343.946,0.03,2,//:all
tensorflow_federated,build,350.175,0.04,2,//:all
tensorflow_federated,build,343.104,0.04,2,//:all
tensorflow_federated,build,347.431,0.03,2,//:all
tensorflow_federated,build,220.286,0.02,2,//:all
tensorflow_federated,build,148.409,0.03,4,//:all
tensorflow_federated,build,169.656,0.03,4,//:all
tensorflow_federated,build,163.149,0.03,4,//:all
tensorflow_federated,build,155.504,0.12,4,//:all
tensorflow_federated,build,190.032,0.03,4,//:all
tensorflow_federated,build,167.782,0.04,4,//:all
tensorflow_federated,build,109.89,0.03,4,//:all
tensorflow_federated,build,193.163,0.03,4,//:all
tensorflow_federated,build,95.723,0.02,4,//:all
tensorflow_federated,build,92.472,0.02,4,//:all
tensorflow_federated,build,94.859,0.03,8,//:all
tensorflow_federated,build,87.794,0.03,8,//:all
tensorflow_federated,build,107.59,0.03,8,//:all
tensorflow_federated,build,86.673,0.03,8,//:all
tensorflow_federated,build,96.166,0.03,8,//:all
tensorflow_federated,build,105.561,0.03,8,//:all
tensorflow_federated,build,99.217,0.03,8,//:all
tensorflow_federated,build,89.379,0.03,8,//:all
tensorflow_federated,build,108.771,0.04,8,//:all
